Location,Year,Pathogen,Value,Rank,Lungs,Bowel,Throat,Heart,
Bulgaria,2006,ECOLI,19.98356464,9,0,9,0,0,
Bulgaria,2006,KLEBSIA,14.52277926,12,0,12,12,12,
Bulgaria,2006,PSEUDO,15.53400866,12,12,0,12,0,
Bulgaria,2011,ECOLI,23.63397512,10,0,10,0,0,
Bulgaria,2011,KLEBSIA,13.62782355,9,0,9,9,9,
Bulgaria,2011,PSEUDO,14.65785202,10,10,0,10,0,
Bulgaria,2016,ECOLI,29.77549049,11,0,11,0,0,
Bulgaria,2016,KLEBSIA,13.96850969,11,0,11,11,11,
Bulgaria,2016,PSEUDO,14.82396756,11,11,0,11,0,
Bulgaria,2021,ECOLI,32.6042333,12,0,12,0,0,
Bulgaria,2021,KLEBSIA,13.7972577,10,0,10,10,10,
Bulgaria,2021,PSEUDO,14.58957258,9,9,0,9,0,
Netherlands,2006,ECOLI,14.37793836,3,0,3,0,0,
Netherlands,2006,KLEBSIA,7.990413687,8,0,8,8,8,
Netherlands,2006,PSEUDO,9.929890086,5,5,0,5,0,
Netherlands,2011,ECOLI,15.49179404,4,0,4,0,0,
Netherlands,2011,KLEBSIA,7.661406315,7,0,7,7,7,
Netherlands,2011,PSEUDO,9.848408511,3,3,0,3,0,
Netherlands,2016,ECOLI,16.45084492,6,0,6,0,0,
Netherlands,2016,KLEBSIA,7.405072859,3,0,3,3,3,
Netherlands,2016,PSEUDO,10.09742131,7,7,0,7,0,
Netherlands,2021,ECOLI,17.93490943,8,0,8,0,0,
Netherlands,2021,KLEBSIA,7.46037586,4,0,4,4,4,
Netherlands,2021,PSEUDO,10.2809233,8,8,0,8,0,
Spain,2006,ECOLI,13.1054503,1,0,1,0,0,
Spain,2006,KLEBSIA,6.807901434,2,0,2,2,2,
Spain,2006,PSEUDO,9.069314276,2,2,0,2,0,
Spain,2011,ECOLI,13.44808381,2,0,2,0,0,
Spain,2011,KLEBSIA,6.735969512,1,0,1,1,1,
Spain,2011,PSEUDO,8.948164156,1,1,0,1,0,
Spain,2016,ECOLI,15.60885362,5,0,5,0,0,
Spain,2016,KLEBSIA,7.566198595,6,0,6,6,6,
Spain,2016,PSEUDO,9.911037342,4,4,0,4,0,
Spain,2021,ECOLI,16.74578381,7,0,7,0,0,
Spain,2021,KLEBSIA,7.466629811,5,0,5,5,5,
Spain,2021,PSEUDO,9.930476819,6,6,0,6,0,
